Time,Position
0.7,-0.558242882
0.701,-0.553628596
0.702,-0.548963587
0.703,-0.544248372
0.704,-0.539483473
0.705,-0.534669416
0.706,-0.52980673
0.707,-0.524895951
0.708,-0.519937617
0.709,-0.514932272
0.71,-0.509880462
0.711,-0.50478274
0.712,-0.49963966
0.713,-0.494451783
0.714,-0.48921967
0.715,-0.48394389
0.716,-0.478625013
0.717,-0.473263614
0.718,-0.467860272
0.719,-0.462415568
0.72,-0.456930088
0.721,-0.451404421
0.722,-0.445839159
0.723,-0.440234899
0.724,-0.434592239
0.725,-0.428911781
0.726,-0.423194132
0.727,-0.4174399
0.728,-0.411649696
0.729,-0.405824136
0.73,-0.399963836
0.731,-0.394069418
0.732,-0.388141504
0.733,-0.382180721
0.734,-0.376187697
0.735,-0.370163063
0.736,-0.364107454
0.737,-0.358021504
0.738,-0.351905854
0.739,-0.345761144
0.74,-0.339588017
0.741,-0.333387118
0.742,-0.327159095
0.743,-0.320904598
0.744,-0.314624278
0.745,-0.308318789
0.746,-0.301988786
0.747,-0.295634926
0.748,-0.289257869
0.749,-0.282858274
0.75,-0.276436804
0.751,-0.269994123
0.752,-0.263530896
0.753,-0.257047789
0.754,-0.25054547
0.755,-0.244024608
0.756,-0.237485874
0.757,-0.230929939
0.758,-0.224357475
0.759,-0.217769156
0.76,-0.211165657
0.761,-0.204547651
0.762,-0.197915816
0.763,-0.191270828
0.764,-0.184613364
0.765,-0.177944103
0.766,-0.171263722
0.767,-0.1645729
0.768,-0.157872317
0.769,-0.151162652
0.77,-0.144444584
0.771,-0.137718795
0.772,-0.130985963
0.773,-0.124246768
0.774,-0.117501891
0.775,-0.110752011
0.776,-0.103997808
0.777,-0.097239961
0.778,-0.09047915
0.779,-0.083716053
0.78,-0.076951348
0.781,-0.070185713
0.782,-0.063419826
0.783,-0.056654362
0.784,-0.049889998
0.785,-0.043127409
0.786,-0.036367267
0.787,-0.029610248
0.788,-0.022857023
0.789,-0.016108264
0.79,-0.009364639
0.791,-0.002626819
0.792,0.004104529
0.793,0.010828738
0.794,0.017545145
0.795,0.024253085
0.796,0.030951897
0.797,0.037640919
0.798,0.044319493
0.799,0.050986963
0.8,0.057642672
0.801,0.064285968
